"nanyangSiteId","siteNameZh","siteNameEn","x","y"
"cca-kd-0144","广惠肇李氏书室","KWONG WAI SIEW LI SI SHU SHUT",103.845619,1.283707
"cca-kd-0145","广惠肇李氏书室","KWONG WAI SIEW LI SI SHU SHUT",103.849282,1.289997
"cca-kd-0146","广惠肇李氏书室","KWONG WAI SIEW LI SI SHU SHUT",103.845924,1.28107
"cca-kd-0147","广惠肇李氏书室","KWONG WAI SIEW LI SI SHU SHUT",103.846158,1.280698
"cca-kd-0148","恩平同乡会","YEN PENG THONG HIONG HUEY",103.84249,1.279438
"cca-kd-0149","恩平同乡会","YEN PENG THONG HIONG HUEY",103.841653,1.279357
"cca-kd-0150","恩平同乡会","YEN PENG THONG HIONG HUEY",103.841673,1.280089
"cca-kd-0151","成氏宗亲会","SENG CLAN ASSOCIATION(SINGAPORE)",103.849436,1.280981
"cca-kd-0152","成氏宗亲会","SENG CLAN ASSOCIATION(SINGAPORE)",103.912199,1.315339
"cca-kd-0153","成氏宗亲会","SENG CLAN ASSOCIATION(SINGAPORE)",103.843964,1.28584
"cca-kd-0154","文山联谊社","BOON SAN LIAN NGEE ASSOCIATION",103.845704,1.284149
"cca-kd-0155","新加坡东安会馆","TUNG ON WUI KUN",103.842094,1.282086
"cca-kd-0156","新加坡东安会馆","TUNG ON WUI KUN",103.840532,1.279015
"cca-kd-0157","新加坡中山会馆","CHUNG SHAN ASSOCIATION (SINGAPORE)",103.847849,1.282943
"cca-kd-0158","新加坡中山会馆","CHUNG SHAN ASSOCIATION (SINGAPORE)",103.848345,1.28357
"cca-kd-0159","新加坡中山会馆","CHUNG SHAN ASSOCIATION (SINGAPORE)",103.846866,1.283525
"cca-kd-0160","新加坡中山会馆","CHUNG SHAN ASSOCIATION (SINGAPORE)",103.841672,1.279993
"cca-kd-0161","新加坡叶氏公会","SINGAPORE YAP ASSOCIATION",103.849316,1.280137
"cca-kd-0162","新加坡叶氏公会","SINGAPORE YAP ASSOCIATION",103.847647,1.280409
"cca-kd-0163","新加坡叶氏公会","SINGAPORE YAP ASSOCIATION",103.883905,1.311654
"cca-kd-0164","新加坡大埔同乡会","TAIPU ASSOCIATION (SINGAPORE)",103.888721,1.315052
"cca-kd-0165","新加坡天府会","TIAN FU ASSOCIATION (SINGAPORE)",103.865877,1.326712
"cca-kd-0166","新加坡宁阳会馆","NING YEUNG WUI KUAN SINGAPORE",103.846433,1.284977
"cca-kd-0167","新加坡宁阳会馆","NING YEUNG WUI KUAN SINGAPORE",103.877235,1.309152
"cca-kd-0168","新加坡安溪会馆","SINGAPORE ANN KWAY ASSOCIATION",103.847554,1.284646
"cca-kd-0169","新加坡安溪会馆","SINGAPORE ANN KWAY ASSOCIATION",103.842368,1.282584
"cca-kd-0170","新加坡客属宝树谢氏公会","CHIA (POW SOO) HAKKA CLAN ASSOCIATION",103.877774,1.313008
"cca-kd-0171","新加坡客属黄氏公会","SINGAPORE KHEK COMMUNITY WONG CLAN ASSOCIATION  //  KHEK COMMUNITY WONG CLAN ASSOCIATION",103.856349,1.298253
"cca-kd-0172","新加坡客属黄氏公会","SINGAPORE KHEK COMMUNITY WONG CLAN ASSOCIATION  //  KHEK COMMUNITY WONG CLAN ASSOCIATION",103.855328,1.299068
"cca-kd-0173","新加坡客属黄氏公会","SINGAPORE KHEK COMMUNITY WONG CLAN ASSOCIATION  //  KHEK COMMUNITY WONG CLAN ASSOCIATION",103.8597,1.311199
"cca-kd-0174","新加坡山西会馆","SHANXI ASSOCIATION",103.865085,1.319768
